#{"t_start": 1750848148.7122128, "env_id": "None"}
r,l,t
230.899649,54,155.468506
-6.839417,1000,157.127014
81.535044,22,157.145036
133.960708,32,157.17089
322.505213,78,157.239528
670.266586,183,157.406815
319.119117,74,157.470669
69.36861,18,157.486144
36.040425,12,157.496052
346.354836,96,157.57362
344.468343,101,157.653011
-616.912622,1000,158.641933
625.539855,163,160.136187
628.032126,152,160.273445
47.86956,15,160.29046
180.068426,40,160.328457
93.12921,25,160.35788
121.793926,28,160.383609
239.986511,57,160.432087
148.684184,40,160.470065
260.185751,69,160.532004
498.65056,113,160.636407
270.380092,64,160.701176
-385.137071,1000,161.625095
443.456841,107,161.744628
325.331453,75,161.801921
-344.780814,1000,163.395628
-571.25928,1000,164.328274
95.116315,29,164.357735
